叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7692420.3105544671,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7704541.2722359626,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7728564.3706532056,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7785754.2413687203,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7808799.4805578766,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7817124.1948130997,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7835303.7894186778,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7872274.3097332548,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7886515.0574460477,0.1
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7895110.2384369113,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7915446.1934175603,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7936060.918017095,0.1
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7943196.3681137562,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,7967268.0260579046,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7976918.1421427401,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7977969.3188385377,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7982683.2247332102,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,7985366.1116529414,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7992945.8756474601,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8006790.7780165756,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8016292.6400962817,0.1
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8041124.7904864084,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8046833.8230552971,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8048750.3684902489,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8099525.7746435115,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8123394.7212127345,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8141749.5766024021,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8221585.1812560037,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8229524.2962137097,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,8259763.8679669229,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8304526.9923084732,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8310951.042593847,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8337576.1386475349,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8338256.7378768027,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8354044.7191789476,0.2
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,8375254.3864512546,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8376873.1271470664,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,8379897.5925940052,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,8379897.5925940052,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8433515.9334421139,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8434936.0931442585,0.1
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,8474196.4818413351,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8482736.50833866,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8487587.9473091457,0.1
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8493682.7425275072,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8507130.5364937466,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8549143.848180756,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8589505.8986501768,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8639693.9945497587,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8679274.2411599308,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8683389.7499861568,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8706324.3347894307,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8708893.0572609156,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8739999.1714779176,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8757726.0148889646,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,8769197.504275661,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8793025.6807705127,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,8814962.8752487879,0.1
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,8819125.0040761903,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8833724.918357743,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,8851235.128194768,0.1
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8859013.7714144755,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8900191.3877317682,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8900191.3877317682,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8905834.120635327,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8914205.3114126995,0.0
