听号令且莫要惊动了她,0,听号令且莫要惊动了她。
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8321184.9304090934,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,8329212.7394502824,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8357598.7993839076,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8359561.7378283236,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8382925.7557949787,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8383893.9945750833,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,8408845.4606121164,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8439716.2119930591,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8445172.0896089002,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8454322.4303180203,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8454971.3287547491,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8474660.1259534787,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8476739.6885622069,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8485215.5703676138,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8613090.7635476887,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8648949.956273865,0.1
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8667492.2913452145,0.1
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8681792.7622343395,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8683580.8513158616,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8688347.0378015023,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,8710842.3538631443,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8736117.3647579942,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8742718.0322963875,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,8748821.7808469776,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,8755872.9430165216,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8793857.9192446601,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8795679.0109745059,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8796569.607597148,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,8815386.0814570133,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,8821801.1304320283,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,8863109.7792463545,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8877926.1680956371,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,8901348.397874184,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8933741.9792621471,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8941075.2587795407,0.1
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,8946395.4538786616,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8947558.2604119573,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,8959928.9088196214,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9001103.8749252297,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9004045.8177170269,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9025646.616913449,0.1
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9043989.0459486395,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9045287.3344651088,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,9047776.2514203116,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9057591.7944085263,0.1
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,9067735.6833543498,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9077018.9711855073,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9088040.8207003623,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9094244.5114614777,0.1
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9113444.7673598025,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9147379.8664284125,0.1
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,9173679.3661659174,0.1
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,9176801.3610174395,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9195264.0971943568,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9223323.1076449174,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9238547.285746105,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,9266433.5218723938,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9284572.7590625137,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9299949.4458330758,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9353591.4962056093,0.1
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9363377.3392934352,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9368947.4834372215,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,9374629.0170810297,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9382288.5581077933,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9404756.5631483868,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,9406743.965899149,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9406766.4237160832,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9417957.2569683176,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9470591.8219016083,0.2
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,9477657.6693274342,0.1
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,9481350.8499452155,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9482066.4649501685,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9490613.0866792966,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9515426.47937355,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9530889.1307898816,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9546824.4062690288,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9570249.0191440601,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9583145.7312655095,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9602946.2339044753,0.1
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,9648645.4162623081,0.3
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9650338.3555831276,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9653825.7037379518,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9659517.8171469737,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9665364.1438673064,0.0
