不知道他与我是否一般,19,不知道他与我是否一般。
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10302272.881074108,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,10312626.051593712,0.1
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10313568.637778949,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,10345997.233162034,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,10356786.900038987,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,10393880.341101265,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10401409.838208344,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10402825.106430406,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10410836.539095886,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10419028.772797721,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10436648.526859608,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10470912.849699831,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,10477858.205626061,0.1
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10483271.622263987,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10498311.054852154,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,10520450.852536174,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,10523800.29247196,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,10546558.865322981,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,10566561.633624418,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10570339.065187279,0.1
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10580551.845875163,0.1
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,10620941.694695927,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10622679.757063739,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,10625242.112138918,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,10630033.732806262,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10635855.564373206,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,10636125.257697677,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10691153.713059753,0.1
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10698128.072598374,0.1
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,10712180.528679168,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,10726261.849281969,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,10744883.343523381,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,10764096.599846663,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,10774066.754387962,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,10788785.595062234,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10819778.105310762,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10858352.639206156,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,10889662.886100583,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,10891055.830054833,0.1
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10902477.417958772,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,10914393.430152146,0.2
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,10918180.222048635,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,10931903.831878815,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10987105.642263537,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,10994969.191194018,0.2
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,10995373.35965853,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,11028404.735435529,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11050172.569229579,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,11065410.464696134,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,11126124.452735044,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,11140136.514025319,0.2
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11140457.378918355,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,11141203.42059133,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,11155777.176726915,0.1
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,11173612.416952111,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,11242808.539785042,0.2
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,11244571.555180844,0.1
