春秋亭外风雨暴,1,春秋亭外风雨暴，
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6692343.7349989638,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,6724804.5572903613,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6726614.5542853558,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6735193.9527087556,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6756027.04751008,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6757501.2111646784,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6764865.3725384707,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,6765467.5857034167,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,6765586.4076445429,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6780975.9999235049,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6789937.5374721764,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6810268.2577557433,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6820795.3837204399,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6822397.8276331015,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6825212.9788293764,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,6831373.4621993182,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6845336.3228446888,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,6857210.2539218441,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6864685.0468213493,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,6876849.013105317,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,6893685.1202703072,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6903975.0987430615,0.0
