此时却又明白了,0,此时却又明白了，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6952226.5167655861,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6970031.7313712295,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6981450.4583407976,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7005604.8756122133,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7008485.0621521147,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7049323.5665506823,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7054582.8695105975,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,7065547.8814543644,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7069855.9525360214,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,7091043.6756331259,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7093599.4138868572,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7171894.2756960476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7175216.939768781,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7177200.1733220499,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7228596.7640451882,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7250839.610764496,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7257211.8379892521,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,7339419.6161252437,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7390519.9336616462,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7410256.0431264918,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7414383.2929646997,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7422132.7879933733,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7477174.5098719215,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7491091.7275013346,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7538187.9967258265,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7551831.5078146551,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7558316.3880406506,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7577650.4736070791,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7589571.5331438677,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7611968.1170685524,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7667096.0514547965,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7698282.7628208892,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7751494.7166108526,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,7800005.1075870376,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7809814.3316153856,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,7816253.6432520961,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7852167.0537617989,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7854312.0093273614,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7886705.3838762706,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7897743.6772651346,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7911691.6037713485,0.0
