这桩事闷得我柔肠百转,0,这桩事闷得我柔肠百转，
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,13639465.930214792,0.1
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,13659086.473396091,0.1
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,13677551.331131518,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,13681456.533547284,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,13728371.499469291,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,13730973.755387226,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,13737220.158487761,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,13778201.834005311,0.1
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,13799289.661766961,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,13804204.427521497,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,13816257.373747416,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,13859914.535195123,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,13861463.552872552,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,13864697.453668654,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,13883312.779011801,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,13900392.185696214,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13924832.852237308,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,13937861.073582653,0.0
