绿柳枝洒甘露三千界上,1,绿柳枝酒甘露三千界上，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7998879.0432817275,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8028287.3822381468,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8064922.0043819286,0.1
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8075549.162952723,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8080051.3977253875,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8151672.3888712497,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,8195730.9679889316,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8203565.4702055976,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8207354.5374438381,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8210868.2107201256,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8220595.4992153225,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8225004.4679157473,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,8244963.0345019801,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8295623.6868799366,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8304197.9840486776,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8311171.8493387131,0.2
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8322619.2621788885,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,8349316.1493932428,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8354093.9997679153,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8365462.2572202738,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8374086.5214859433,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8380231.1579444436,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8397429.400490528,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8416283.1088260692,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8465615.5183491949,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8503256.6704501919,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8511341.3249635957,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8514049.4870034792,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8516340.693822708,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8536576.4691834338,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,8559270.4038368743,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8594695.1086550802,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8606613.8689882345,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8606613.8689882345,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8636236.4682705048,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8668905.1275912095,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8677860.3874882068,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,8696008.3458597269,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8735539.359634215,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8748364.0298395008,0.2
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8813533.4305951614,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,8819112.5157174375,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8826641.1384485923,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8828336.964864146,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,8834937.700275166,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,8862154.5838906802,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8885330.9396253135,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8894481.5128304791,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8944802.0889235605,0.1
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8969406.0482381377,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8986503.6378192827,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9003175.7616649065,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9021767.999742955,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9031876.2774197012,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9051472.2267699018,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9063526.6494346745,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9073999.129555475,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,9087675.0467788987,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9152134.4916310329,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,9209440.1409482621,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,9209440.1409482621,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9230543.2578802276,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9234350.5433596894,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9250695.0188629609,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9279613.4169501625,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9283902.937093975,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9292031.569764344,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,9312105.0711366683,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9329245.8878442738,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,9337951.6694938261,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9344839.3370112423,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9365977.533962952,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9394432.193561038,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,9420258.8103811461,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,9420511.4212294444,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9474747.4046989884,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9497948.5546624679,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,9506940.5243339427,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9521645.5064434931,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9530182.3785374239,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9551252.9019114878,0.0
