这才是今生难预料,0,这才是人生难预料，
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,11263813.031968785,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11273272.82208656,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11277625.662088031,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,11290565.467352565,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,11304408.458051864,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,11328430.717698105,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,11350563.984826567,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11359910.16601692,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,11361037.434684398,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,11519877.348471997,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11523603.379606487,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,11527089.005744608,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11554743.342260012,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,11567162.466038156,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,11590961.651270019,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,11672808.95361447,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,11672824.777130522,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,11672825.509037916,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11703444.01846661,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,11791122.020046446,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11794270.839126974,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,11851259.9113777,0.25
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,11863550.548196847,0.125
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,11932585.274889054,0.125
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11945013.801591078,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,11951006.240609223,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12023341.495687379,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,12056495.148474963,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,12079699.044463608,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,12120919.228335902,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,12141716.868532339,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12158114.112356462,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,12222056.453763267,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,12225737.299462751,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,12229231.393112075,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,12230040.569534706,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12240405.587689059,0.125
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,12242610.050792269,0.125
