看大王在帐中合衣睡稳,0,看大王在帐中和衣睡稳，
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8182498.2184418384,0.2
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8195973.1363999173,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8202102.5321327271,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8212004.5379848089,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8222319.6919108722,0.1
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8232841.1363692712,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,8244758.8725474523,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8284433.3631572174,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8339447.6877926765,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8367742.1177426139,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,8377498.9771973947,0.1
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8380617.2293581432,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,8382942.6180801364,0.2
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,8391060.4282052256,0.0
