昔日梁鸿配孟光,19,昔日里梁鸿配孟光，
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,8125085.8496930227,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8130276.0493727196,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,8155290.1202942235,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8158814.0125962654,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,8167081.2006972497,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8190227.1147232559,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8190259.7311286442,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8190259.7311286442,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8217261.5286618154,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,8223900.9210063852,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,8240409.1369650476,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8267139.0753629431,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8269623.313108799,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8289202.6431554817,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8303353.9600120587,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8309132.9349123612,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,8317262.1326500131,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8323415.3032896966,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8335462.3625929849,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8367555.7945296904,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,8371630.8623056142,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8371908.1530768219,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8410972.301347388,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8411005.0933301933,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8433018.1356704365,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8434168.225082919,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,8453570.5149401408,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,8456909.7094191983,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8504653.0363285895,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8524113.2485426329,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8526851.4259761069,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8531324.8044045009,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8554634.5578116551,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,8597521.5607970078,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8672575.1874337997,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8676151.1906558294,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8678122.1753850058,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,8693095.4649740234,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8717335.7026873417,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8747989.1160720289,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8760018.8949666172,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,8770565.3296244927,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8813986.137476692,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,8825460.3181158584,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8826048.9626565184,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8831291.9051647652,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8845829.7680284213,0.0
