原来是不耐烦已经睡困,0,原来是不耐烦已经睡困，
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9422198.7239486873,0.1
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,9452176.7667073086,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9474597.1726537682,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9505376.26929144,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,9506471.7969099954,0.2
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9510166.2550022826,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,9514144.2875017915,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9550781.0708289202,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9557354.6572415493,0.1
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,9583038.5436214879,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9584406.2293930072,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,9586639.9218115881,0.2
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,9590920.6646410637,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,9594847.3509613909,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,9594847.3509613909,0.1
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,9595081.6114266925,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9604444.4725089688,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9631115.708271604,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,9639102.9374099672,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9657442.3012537919,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9677691.922044415,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9703497.4587582722,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,9717924.7998724058,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,9733700.2558937408,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9744907.3175570481,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9752621.2752524391,0.0
