但愿得状元郎月老引线,0,但愿得状元媒月老引线，
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,9187678.867927419,0.1
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9189752.7399195544,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,9227256.0165967699,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9290256.168109823,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,9299928.7614767868,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,9311361.0139272735,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9357263.0430145897,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9363936.1249750592,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,9367365.9270309936,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,9393323.558684228,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9413227.2344246712,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,9427061.4601300117,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9433405.0381654538,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9494480.3945410885,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9504650.523259325,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,9512886.4320811983,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9568295.8693848345,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9580154.3846879192,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,9609786.5741656404,0.1
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,9629888.5431834981,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9630940.4688379858,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9637405.4725894798,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,9640405.0104006734,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,9640405.0104006734,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9714806.6886091735,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,9725862.8767785672,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9731654.4983891044,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9767615.6571835056,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9771962.0534543339,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9906805.9043473806,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9908297.1549213156,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9908956.4603317566,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,9926891.8061523195,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,9945889.3877197597,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9960339.8769979551,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,9963608.4439431131,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9976879.2954030111,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,10005317.371841446,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10056742.079002418,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,10063934.955078274,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,10080604.157243514,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,10115309.428332763,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10194471.639990084,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10252074.717010669,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,10257324.620353121,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,10269477.998161955,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10282269.352960842,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10307390.742865942,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10324938.57979589,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,10327600.396325821,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10331649.482174402,0.1
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10375905.738145676,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10398015.151252968,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,10400048.808538077,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,10403322.540239887,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10433496.181212569,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,10440630.828639282,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10451457.718940368,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10473748.101314725,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,10479693.97229071,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,10496794.228976676,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,10547358.681142759,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10556601.73227426,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,10615459.955235204,0.0
