宋天子主婚姻此事成全,0,宋天子主婚姻此事成全。
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7700415.305513368,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7713652.3485205397,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7725003.6698026983,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7727023.5712686395,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7729481.7977970419,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7737323.6279611187,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7743749.4812860517,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7745064.1303410688,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7754879.6894318927,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7762847.3885894371,0.1
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7764664.6589073585,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7781557.7145331101,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7787861.2363504898,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7807501.2236132212,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7819431.1881568041,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7821479.8971446101,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7832223.2012540968,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7841823.7723310012,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7843961.2718944373,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7856796.7688623881,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7870890.8876610082,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7874677.3388864966,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7886022.7411536938,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7892218.4229539866,0.1
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7894016.4858683869,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7938965.4029172231,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7940802.0797709096,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7946767.2698906455,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7961305.9038695144,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7991817.1230230313,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,8019448.3194306595,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8020607.7108819513,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8024674.7465577526,0.1
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8055686.3426722912,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8084897.1213227334,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8088605.5713942265,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8095084.9161330415,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8099762.347035028,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,8106770.0426378315,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8114426.2927597659,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8114735.5472249594,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8132043.0139073031,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,8141860.308620166,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8169951.9450822603,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8176564.9768407503,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8193850.8810382336,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8199296.7819810389,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8228195.9360860642,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8243585.217877252,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8269021.2882610215,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8288530.4709817786,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8304552.4223284889,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,8309753.3326804591,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8326194.088114934,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,8327555.9770961991,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8358233.6215767562,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8358557.2535317671,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8362494.4277702896,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8382283.0732627688,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8392475.3964871988,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8434477.4738936815,0.1
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8437524.863722574,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,8440268.6448318623,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8444863.2915751487,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8459058.1082737092,0.0
