有善才和龙女站立两厢,3,有善才和龙女站立两厢；
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7009863.6221712856,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7029728.9481506906,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7032263.5862606373,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7039606.9157826612,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7055943.8104412369,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7063743.4712189501,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,7067244.8646520525,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,7080146.2624755548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7103133.3287717933,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,7118598.0440958505,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7131412.8989807814,0.1
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7138732.0797791565,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7151134.7254967606,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7166169.670417171,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7189352.2327597495,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7220805.7551097339,0.1
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7236742.5653097164,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7275140.1025767485,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7299819.2880302332,0.0
