猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7617249.5512589179,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7659288.628116928,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7684012.7527130274,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7690186.8230109662,0.2
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7693345.4513890557,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,7701462.3832668662,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7704928.112367955,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7716978.7591792196,0.1
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,7729315.7811303558,0.2
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,7746490.7209389191,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7772687.1434346642,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7800753.6868071109,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,7804786.2128326725,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,7819417.5729124388,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,7822683.7716477392,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7850491.4342328766,0.1
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7900488.3010441875,0.2
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7925134.7534093792,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,7947800.1187772891,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7954527.4915192872,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7972739.181292301,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,7975377.2427578224,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7985708.3163400898,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7987587.2483858233,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8000840.2767892648,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,8034072.2874148721,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,8034881.019406504,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,8063906.6302474802,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8067357.7872866085,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8084862.8704078337,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8089185.0093269292,0.0
