满眼中清妙境灵光万丈,0,满眼中清妙景灵光万丈，
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8406000.5588202253,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8416558.752287671,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8422777.2769705728,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8434091.8353733532,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8440469.6273769215,0.1
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8463041.9782079626,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8471423.5429510344,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,8472333.969189506,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8473504.2111573424,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8484770.0422241557,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8494554.8545087446,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,8500581.1443394646,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,8510917.9320689887,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8511045.8469268084,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8522566.8796840962,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,8551922.905676771,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8559011.2137147803,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8570499.4264925569,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8578276.7990540247,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8591788.3498173486,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,8614932.7544397153,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8635593.9123393912,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8650793.5686480384,0.1
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8670789.3713096622,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8677343.9693810642,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,8677436.8182661552,0.0
