待我来再与你重订鸳盟,0,待我来搀扶（哇）你重订鸳盟。
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,5354938.5885701915,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5365222.4147072015,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5409775.4431978576,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5413552.7800309332,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5421493.403696713,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5425867.5682978481,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,5474832.1645831121,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,5479725.5110972971,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5482602.6855538152,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5487116.0267207902,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5501939.1173801627,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,5504996.4765048828,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5527758.9995325878,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5532033.1573573239,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,5547368.751973507,0.1
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5553021.3080844516,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,5566502.0224646917,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5567433.2658761395,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5572084.3604231523,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5575445.2394637289,0.2
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5576506.0319579551,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5600532.1506774509,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5635314.9642251991,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5638077.7929064473,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5659967.8703474477,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,5686578.1692132559,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,5687856.6459858567,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5697898.957269216,0.2
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,5700895.9177745692,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5723737.7326048659,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,5753053.6157930028,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5765492.8432142911,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5795110.5008121729,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5808329.6935541239,0.1
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5814781.3788242135,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5818697.4739629338,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,5827574.2993703503,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,5829189.5506414799,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5840555.1055002902,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5842048.7961414438,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5861027.4891544599,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5875547.7308133235,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,5917664.4523516521,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5941903.1377221169,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5945269.2986473031,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5949785.5203468334,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,5956464.1714650523,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6009902.2907776963,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6018584.3362476444,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,6042594.1571150338,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6048542.6806412721,0.1
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6054010.122073858,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6094937.0069181072,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6100707.2584116971,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6114582.6928819753,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,6117729.7562802853,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6127684.728849791,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6132450.7919505052,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6146638.9997533867,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6155582.0638501495,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6188649.0042830119,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6226027.4064583294,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6233722.1743352963,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6238100.2096943967,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6244545.8302621422,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6256074.618962246,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6261481.8433778668,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6284347.5345907025,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6316248.5892004967,0.0
