想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7869719.279709409,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7896819.8204138344,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7909100.581992195,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7914636.8244695049,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7988234.9779968001,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8015741.28231466,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8032218.0730832247,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8046768.5228544334,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8054366.5942763044,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,8056304.4579686569,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8076903.461388547,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8095759.2523625689,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8104804.7832062524,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8138066.7551619569,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8141995.8112993594,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8146832.0250893207,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8203469.3267594781,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8211333.090431761,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8291884.9022129066,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8299194.3813091572,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8313184.1034633871,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,8340688.7805374153,0.09090909090909091
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8346513.4167624796,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8377055.5470678536,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8388423.175130561,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8399467.6095392406,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,8414160.7978789005,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8515482.9982725549,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8551510.7514073644,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8564634.5283930991,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,8626128.0622137059,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8626880.9579989556,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8633122.3364769146,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8644555.9018280189,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8675782.8393227141,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8727114.0221092477,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8748857.6015817504,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8840300.8961396664,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8860200.1457251366,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8868330.8523778953,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8878257.3300151769,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8911893.3805013802,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8918571.7448008452,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8924131.8214027472,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8926257.4768010397,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8977677.1775359306,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8994270.2608756218,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9006676.4662155304,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9006700.557753766,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9016580.2671037931,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9023602.2943624575,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9039402.7013107464,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9048647.6190840676,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9058774.5586273149,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,9092301.156320598,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9103516.6336425766,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9104857.4776635487,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9124255.5931047592,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9131740.8910470046,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,9152869.5850624871,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9187630.606307026,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9212276.3043511398,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9234369.2175867297,0.18181818181818182
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9280949.1436229236,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9304164.2420515679,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9320695.2459176611,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,9349862.8513566162,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9378230.1841513887,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9384756.2601730339,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,9391200.9515994918,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9396715.8512668293,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9424991.7793407701,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9428811.1598799992,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,9475817.6703330819,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9570200.9903267324,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9580842.2641316373,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9605361.4559709281,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,9646139.0383223295,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9693906.3710142318,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9698905.1888509654,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9746783.6624102294,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9746978.5294418484,0.09090909090909091
